Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,team_id,game_id
Elizabeth Williams,27:32:00,3,6,0.5,0,0,,3,6,0.5,4,7,3,2,0,2,3,9,17,CHI,202405230NYL
Breanna Stewart,35:16:00,5,12,0.417,2,6,0.333,6,9,0.667,1,10,5,4,1,3,1,18,-5,NYL,202405230NYL
Sabrina Ionescu,35:10:00,8,20,0.4,2,8,0.25,1,3,0.333,0,4,6,2,1,2,1,19,-6,NYL,202405230NYL
Betnijah Laney,32:45:00,3,10,0.3,2,3,0.667,1,2,0.5,2,3,1,0,0,2,5,9,-4,NYL,202405230NYL
Courtney Vandersloot,28:34:00,4,6,0.667,0,0,,2,3,0.667,0,4,7,1,0,2,1,10,-10,NYL,202405230NYL
Jonquel Jones,20:40,4,8,0.5,0,2,0,0,0,,1,4,1,0,1,5,5,8,-20,NYL,202405230NYL
Ariel Atkins,31:14:00,6,11,0.545,2,6,0.333,2,2,1,4,5,4,1,0,3,4,16,-8,WAS,202405230PHO
Julie Vanloo,26:37:00,5,11,0.455,5,10,0.5,0,0,,0,7,4,0,0,4,3,15,-7,WAS,202405230PHO
Karlie Samuelson,24:56:00,1,7,0.143,1,7,0.143,0,0,,0,1,2,1,0,0,3,3,2,WAS,202405230PHO
Shakira Austin,20:05,3,11,0.273,0,0,,5,6,0.833,1,4,0,0,0,2,3,11,2,WAS,202405230PHO
Stefanie Dolson,14:19,3,3,1,3,3,1,0,0,,0,2,0,1,0,2,4,9,-16,WAS,202405230PHO
Natasha Cloud,36:01:00,3,6,0.5,0,2,0,8,10,0.8,1,5,10,3,0,8,4,14,5,PHO,202405230PHO
Diana Taurasi,29:19:00,7,13,0.538,2,7,0.286,4,5,0.8,0,6,1,0,0,1,1,20,11,PHO,202405230PHO
Kahleah Copper,28:13:00,7,17,0.412,3,9,0.333,3,3,1,1,5,2,1,0,1,4,20,2,PHO,202405230PHO
Rebecca Allen,24:03:00,0,3,0,0,3,0,0,0,,1,2,1,0,0,0,0,0,1,PHO,202405230PHO
Natasha Mack,18:39,2,3,0.667,0,0,,2,2,1,1,9,2,1,2,0,1,6,11,PHO,202405230PHO
Caitlin Clark,36:51:00,4,14,0.286,2,9,0.222,1,2,0.5,1,10,8,4,1,2,2,11,3,IND,202405240LAS
Kelsey Mitchell,33:52:00,6,14,0.429,2,5,0.4,4,5,0.8,0,2,2,1,0,1,1,18,12,IND,202405240LAS
Kristy Wallace,31:23:00,3,7,0.429,1,4,0.25,0,0,,0,3,5,1,0,2,2,7,3,IND,202405240LAS
Aliyah Boston,29:29:00,8,14,0.571,0,1,0,1,2,0.5,2,6,2,2,0,3,4,17,4,IND,202405240LAS
NaLyssa Smith,11:45,2,5,0.4,1,1,1,0,0,,0,3,1,0,0,1,3,5,-6,IND,202405240LAS
Lexie Brown,38:14:00,2,10,0.2,0,5,0,1,1,1,0,5,3,1,0,4,1,5,-2,LAS,202405240LAS
Dearica Hamby,36:08:00,6,13,0.462,1,2,0.5,5,6,0.833,1,12,7,0,0,4,3,18,-3,LAS,202405240LAS
Kia Nurse,26:22:00,2,11,0.182,0,7,0,0,0,,0,2,3,1,0,1,3,4,-9,LAS,202405240LAS
Cameron Brink,26:15:00,5,9,0.556,1,3,0.333,4,4,1,1,9,2,2,2,4,5,15,-5,LAS,202405240LAS
Layshia Clarendon,20:40,1,1,1,0,0,,0,0,,0,2,2,1,0,2,1,2,-3,LAS,202405240LAS
DeWanna Bonner,34:38:00,6,15,0.4,3,9,0.333,4,5,0.8,2,8,3,0,1,1,2,19,5,CON,202405250CHI
DiJonai Carrington,33:20:00,5,11,0.455,0,0,,6,7,0.857,2,6,1,0,0,3,1,16,5,CON,202405250CHI
Tyasha Harris,31:55:00,6,10,0.6,2,4,0.5,1,1,1,2,5,3,1,0,3,3,15,6,CON,202405250CHI
Alyssa Thomas,23:07,3,6,0.5,0,0,,3,4,0.75,2,6,6,1,0,6,1,9,4,CON,202405250CHI
Brionna Jones,23:06,7,8,0.875,0,0,,2,2,1,4,6,0,2,0,3,1,16,4,CON,202405250CHI
Marina Mabrey,36:44:00,8,18,0.444,4,7,0.571,3,3,1,3,5,4,1,0,3,3,23,-3,CHI,202405250CHI
Elizabeth Williams,36:43:00,4,8,0.5,0,0,,2,2,1,2,5,2,2,3,0,2,10,2,CHI,202405250CHI
Angel Reese,33:07:00,4,9,0.444,0,1,0,5,6,0.833,3,5,2,1,0,2,3,13,-6,CHI,202405250CHI
Dana Evans,27:54:00,3,10,0.3,3,6,0.5,4,4,1,0,0,1,1,0,2,2,13,1,CHI,202405250CHI
Diamond DeShields,16:53,1,6,0.167,0,2,0,1,2,0.5,0,2,5,2,0,0,2,3,-7,CHI,202405250CHI
Kelsey Mitchell,31:47:00,6,14,0.429,3,10,0.3,1,2,0.5,0,2,2,0,0,0,1,16,-25,IND,202405250LVA
Caitlin Clark,28:31:00,2,8,0.25,2,5,0.4,2,2,1,0,5,7,1,0,6,2,8,-18,IND,202405250LVA
Aliyah Boston,26:22:00,6,14,0.429,0,0,,0,0,,2,6,4,0,0,3,1,12,-20,IND,202405250LVA
Temi Fagbenle,26:12:00,4,7,0.571,0,1,0,5,5,1,2,8,2,0,1,1,4,13,-10,IND,202405250LVA
Katie Lou Samuelson,23:54,1,6,0.167,1,4,0.25,0,0,,0,2,1,0,1,0,1,3,-10,IND,202405250LVA
Kelsey Plum,32:23:00,7,18,0.389,3,10,0.3,3,4,0.75,0,0,7,0,0,1,3,20,13,LVA,202405250LVA
Jackie Young,31:29:00,7,16,0.438,3,9,0.333,5,6,0.833,0,1,6,2,0,2,2,22,24,LVA,202405250LVA
A'ja Wilson,30:44:00,12,18,0.667,1,2,0.5,4,4,1,2,15,2,1,1,0,1,29,22,LVA,202405250LVA
Alysha Clark,30:38:00,3,7,0.429,2,5,0.4,0,0,,0,6,5,4,0,2,2,8,21,LVA,202405250LVA
Kiah Stokes,25:24:00,0,1,0,0,1,0,0,0,,1,5,1,0,2,0,2,0,16,LVA,202405250LVA
Betnijah Laney,35:53:00,2,8,0.25,0,3,0,0,0,,1,3,2,1,0,1,0,4,-11,NYL,202405250MIN
Breanna Stewart,33:22:00,8,18,0.444,1,8,0.125,3,3,1,3,11,5,1,2,2,2,20,-15,NYL,202405250MIN
Jonquel Jones,27:40:00,1,5,0.2,0,2,0,2,2,1,2,6,3,1,0,3,5,4,-6,NYL,202405250MIN
Courtney Vandersloot,27:40:00,5,12,0.417,1,4,0.25,1,2,0.5,1,3,6,3,1,4,0,12,6,NYL,202405250MIN
Sabrina Ionescu,26:17:00,5,14,0.357,2,6,0.333,1,1,1,1,3,1,0,0,4,1,13,-27,NYL,202405250MIN
Napheesa Collier,34:50:00,6,16,0.375,1,4,0.25,2,2,1,3,12,4,2,2,2,4,15,18,MIN,202405250MIN
Kayla McBride,34:05:00,5,10,0.5,4,6,0.667,0,0,,1,5,5,2,0,2,1,14,23,MIN,202405250MIN
Bridget Carleton,29:45:00,5,8,0.625,2,5,0.4,2,2,1,0,2,3,1,2,1,1,14,6,MIN,202405250MIN
Courtney Williams,24:25:00,3,7,0.429,1,2,0.5,0,0,,0,4,5,0,1,4,2,7,-1,MIN,202405250MIN
Alanna Smith,21:27,5,9,0.556,3,3,1,2,2,1,1,1,1,0,0,2,3,15,11,MIN,202405250MIN
Arike Ogunbowale,38:09:00,11,24,0.458,7,12,0.583,11,12,0.917,0,7,4,4,0,3,1,40,18,DAL,202405250PHO
Maddy Siegrist,37:09:00,10,16,0.625,1,4,0.25,1,2,0.5,7,9,4,2,0,1,2,22,21,DAL,202405250PHO
Monique Billings,33:50:00,6,11,0.545,0,0,,6,6,1,4,8,3,0,4,5,3,18,13,DAL,202405250PHO
Sevgi Uzun,29:11:00,1,4,0.25,0,2,0,0,0,,0,3,4,2,1,3,3,2,16,DAL,202405250PHO
Teaira McCowan,26:44:00,6,12,0.5,0,0,,1,1,1,3,7,5,1,0,4,1,13,13,DAL,202405250PHO
Natasha Cloud,35:58:00,3,10,0.3,0,5,0,3,3,1,2,4,12,3,0,4,3,9,-3,PHO,202405250PHO
Kahleah Copper,35:37:00,11,22,0.5,4,7,0.571,6,7,0.857,0,1,2,1,0,4,3,32,-5,PHO,202405250PHO
Diana Taurasi,30:16:00,10,20,0.5,6,13,0.462,2,2,1,0,5,2,0,0,2,2,28,-22,PHO,202405250PHO
Natasha Mack,18:19,0,2,0,0,0,,0,0,,0,3,3,1,3,1,1,0,-16,PHO,202405250PHO
Rebecca Allen,14:30,2,4,0.5,1,2,0.5,0,0,,2,3,1,0,0,1,3,5,-15,PHO,202405250PHO
Aaliyah Edwards,28:16:00,2,8,0.25,0,0,,0,0,,2,5,1,1,0,1,2,4,-18,WAS,202405250SEA
Karlie Samuelson,25:47:00,5,8,0.625,1,2,0.5,5,5,1,2,3,0,1,0,1,1,16,-17,WAS,202405250SEA
Ariel Atkins,25:39:00,0,12,0,0,3,0,2,2,1,2,5,2,1,0,3,4,2,-16,WAS,202405250SEA
Julie Vanloo,21:09,5,8,0.625,2,5,0.4,0,0,,0,1,3,0,0,3,2,12,-14,WAS,202405250SEA
Stefanie Dolson,20:44,2,4,0.5,2,4,0.5,2,2,1,1,1,1,0,0,4,0,8,-22,WAS,202405250SEA
Jewell Loyd,30:55:00,6,13,0.462,4,7,0.571,2,3,0.667,0,4,1,2,0,5,3,18,19,SEA,202405250SEA
Nneka Ogwumike,30:18:00,8,12,0.667,0,1,0,3,4,0.75,0,4,4,2,0,0,2,19,23,SEA,202405250SEA
Skylar Diggins-Smith,26:05:00,6,9,0.667,2,3,0.667,2,2,1,0,1,9,0,0,1,4,16,23,SEA,202405250SEA
Ezi Magbegor,24:32:00,5,7,0.714,2,3,0.667,4,4,1,1,6,2,0,3,5,3,16,10,SEA,202405250SEA
Victoria Vivians,16:59,1,2,0.5,0,0,,0,0,,2,4,2,0,0,0,2,2,8,SEA,202405250SEA
Alanna Smith,33:19:00,6,12,0.5,3,6,0.5,2,2,1,0,4,5,2,0,2,4,17,10,MIN,202405260ATL
Kayla McBride,31:36:00,10,12,0.833,6,7,0.857,5,5,1,0,1,1,1,0,1,0,31,17,MIN,202405260ATL
Napheesa Collier,29:49:00,5,11,0.455,2,3,0.667,8,10,0.8,3,8,7,1,3,2,2,20,20,MIN,202405260ATL
Courtney Williams,28:49:00,4,11,0.364,0,2,0,1,2,0.5,0,6,5,0,0,2,3,9,13,MIN,202405260ATL
Bridget Carleton,28:30:00,2,6,0.333,2,6,0.333,0,0,,1,5,2,1,0,2,4,6,10,MIN,202405260ATL
Rhyne Howard,34:22:00,8,16,0.5,3,7,0.429,4,6,0.667,0,5,5,6,0,1,2,23,-9,ATL,202405260ATL
Allisha Gray,30:14:00,2,7,0.286,0,4,0,3,3,1,0,1,3,0,0,2,3,7,-17,ATL,202405260ATL
Tina Charles,28:37:00,7,13,0.538,0,0,,0,0,,2,4,1,2,0,0,0,14,-6,ATL,202405260ATL
Haley Jones,20:34,0,4,0,0,3,0,0,0,,1,2,5,0,0,2,2,0,-4,ATL,202405260ATL
Cheyenne Parker,18:48,4,6,0.667,0,0,,2,2,1,5,8,1,0,0,1,6,10,-19,ATL,202405260ATL
Arike Ogunbowale,37:22:00,7,30,0.233,0,8,0,6,7,0.857,1,5,5,0,1,2,1,20,3,DAL,202405260LAS
Monique Billings,35:41:00,6,11,0.545,0,0,,6,9,0.667,6,12,4,1,0,0,2,18,1,DAL,202405260LAS
Sevgi Uzun,34:46:00,4,9,0.444,2,2,1,1,2,0.5,1,5,8,1,0,0,2,11,6,DAL,202405260LAS
Maddy Siegrist,34:14:00,7,13,0.538,0,2,0,1,2,0.5,5,8,1,2,1,0,0,15,-2,DAL,202405260LAS
Teaira McCowan,21:53,5,7,0.714,0,0,,2,2,1,2,5,1,1,2,2,5,12,-8,DAL,202405260LAS
Dearica Hamby,38:12:00,7,15,0.467,0,1,0,5,8,0.625,2,13,4,0,0,3,1,19,2,LAS,202405260LAS
Lexie Brown,26:32:00,4,14,0.286,2,5,0.4,2,2,1,1,4,6,0,0,0,2,12,-1,LAS,202405260LAS
Cameron Brink,23:31,7,12,0.583,3,6,0.5,4,4,1,1,2,3,0,3,2,5,21,-3,LAS,202405260LAS
Kia Nurse,17:17,0,4,0,0,2,0,0,0,,0,0,3,0,0,0,0,0,-7,LAS,202405260LAS
Layshia Clarendon,7:27,1,2,0.5,0,0,,2,2,1,0,0,0,0,0,0,1,4,-1,LAS,202405260LAS
Jewell Loyd,38:01:00,6,18,0.333,1,4,0.25,6,6,1,0,4,6,3,0,4,2,19,14,SEA,202405280CHI
Skylar Diggins-Smith,35:02:00,7,12,0.583,2,4,0.5,5,7,0.714,1,2,3,3,1,6,4,21,10,SEA,202405280CHI
Nneka Ogwumike,33:35:00,4,7,0.571,0,0,,2,2,1,1,5,2,2,1,1,1,10,15,SEA,202405280CHI
Ezi Magbegor,32:13:00,5,12,0.417,0,1,0,3,3,1,4,12,1,3,5,1,3,13,19,SEA,202405280CHI
Victoria Vivians,26:56:00,3,5,0.6,1,2,0.5,0,0,,0,3,1,2,0,4,3,7,9,SEA,202405280CHI
Angel Reese,29:35:00,4,9,0.444,0,0,,3,3,1,6,12,3,2,0,3,2,11,-12,CHI,202405280CHI
Dana Evans,29:29:00,5,9,0.556,3,5,0.6,0,0,,0,1,4,2,0,3,3,13,-21,CHI,202405280CHI
Elizabeth Williams,28:42:00,6,11,0.545,0,0,,0,0,,2,8,1,0,0,2,1,12,-10,CHI,202405280CHI
Marina Mabrey,24:46:00,3,10,0.3,1,4,0.25,0,0,,0,4,2,3,0,4,4,7,-2,CHI,202405280CHI
Diamond DeShields,24:25:00,2,8,0.25,0,2,0,2,3,0.667,0,1,2,2,0,2,3,6,-2,CHI,202405280CHI
Sophie Cunningham,29:40:00,2,11,0.182,0,5,0,2,2,1,1,9,3,3,1,2,0,6,-23,PHO,202405280CON
Kahleah Copper,28:42:00,2,11,0.182,0,5,0,3,4,0.75,3,5,4,0,0,4,1,7,-21,PHO,202405280CON
Natasha Cloud,27:44:00,3,8,0.375,0,3,0,3,4,0.75,1,4,3,2,1,6,2,9,-20,PHO,202405280CON
Natasha Mack,27:09:00,3,4,0.75,0,0,,0,0,,2,7,1,1,3,1,2,6,-9,PHO,202405280CON
Diana Taurasi,24:47:00,2,14,0.143,0,7,0,2,2,1,0,7,1,1,1,2,3,6,-11,PHO,202405280CON
DeWanna Bonner,29:12:00,7,11,0.636,2,4,0.5,3,4,0.75,1,3,3,1,1,2,0,19,19,CON,202405280CON
Alyssa Thomas,24:26:00,5,7,0.714,0,0,,0,2,0,1,6,8,1,1,4,0,10,21,CON,202405280CON
Tyasha Harris,23:20,1,4,0.25,1,3,0.333,0,0,,0,2,5,1,0,0,2,3,18,CON,202405280CON
DiJonai Carrington,22:55,2,10,0.2,0,3,0,0,3,0,2,10,3,1,0,1,1,4,14,CON,202405280CON
Brionna Jones,17:56,8,15,0.533,0,1,0,0,0,,2,5,1,3,2,1,2,16,9,CON,202405280CON
Dearica Hamby,40:00:00,6,12,0.5,1,1,1,4,6,0.667,2,10,5,2,0,4,4,17,6,LAS,202405280IND
Kia Nurse,27:57:00,6,12,0.5,5,6,0.833,5,8,0.625,0,2,1,0,0,0,5,22,-3,LAS,202405280IND
Cameron Brink,24:02:00,1,5,0.2,1,3,0.333,0,0,,1,3,2,1,2,3,3,3,3,LAS,202405280IND
Rickea Jackson,23:27,2,7,0.286,1,3,0.333,7,10,0.7,0,1,1,2,0,0,1,12,-3,LAS,202405280IND
Lexie Brown,11:35,1,1,1,1,1,1,0,0,,0,4,1,0,1,2,0,3,-6,LAS,202405280IND
Caitlin Clark,34:05:00,7,16,0.438,3,10,0.3,13,15,0.867,0,5,6,3,3,7,5,30,4,IND,202405280IND
Temi Fagbenle,31:34:00,3,5,0.6,0,0,,0,0,,3,7,0,1,1,1,6,6,5,IND,202405280IND
Kelsey Mitchell,28:46:00,5,15,0.333,3,7,0.429,2,4,0.5,0,0,2,1,0,1,1,15,-20,IND,202405280IND
Kristy Wallace,27:44:00,2,9,0.222,1,6,0.167,0,0,,1,3,3,4,1,0,3,5,-6,IND,202405280IND
Aliyah Boston,23:24,5,9,0.556,2,2,1,5,6,0.833,3,6,2,1,0,3,5,17,12,IND,202405280IND
Jackie Young,36:36:00,7,13,0.538,3,5,0.6,2,3,0.667,1,5,10,0,0,2,2,19,16,LVA,202405290MIN
Kelsey Plum,36:14:00,4,14,0.286,2,8,0.25,0,0,,1,2,6,1,0,5,3,10,20,LVA,202405290MIN
Alysha Clark,32:11:00,3,5,0.6,2,4,0.5,1,1,1,1,6,2,1,0,4,3,9,28,LVA,202405290MIN
A'ja Wilson,31:59:00,11,23,0.478,0,1,0,7,10,0.7,3,15,3,2,4,2,2,29,11,LVA,202405290MIN
Kiah Stokes,25:56:00,0,6,0,0,2,0,0,0,,4,8,0,0,1,0,1,0,14,LVA,202405290MIN
Kayla McBride,35:22:00,3,11,0.273,2,6,0.333,3,3,1,0,3,4,3,0,3,0,11,-12,MIN,202405290MIN
Napheesa Collier,34:09:00,6,16,0.375,1,2,0.5,5,5,1,5,13,1,2,1,2,5,18,-19,MIN,202405290MIN
Courtney Williams,33:02:00,6,13,0.462,0,1,0,0,0,,0,6,8,1,1,6,2,12,3,MIN,202405290MIN
Alanna Smith,31:13:00,3,8,0.375,1,3,0.333,0,0,,3,6,3,0,2,2,1,7,-10,MIN,202405290MIN
Bridget Carleton,23:05,0,4,0,0,3,0,2,2,1,0,4,0,0,0,1,4,2,-12,MIN,202405290MIN
Natasha Cloud,35:08:00,9,17,0.529,3,7,0.429,0,1,0,0,2,3,1,1,2,4,21,-6,PHO,202405290NYL
Kahleah Copper,31:49:00,7,19,0.368,0,5,0,6,7,0.857,3,9,2,2,0,4,4,20,-9,PHO,202405290NYL
Sophie Cunningham,30:29:00,3,6,0.5,2,5,0.4,1,2,0.5,1,6,1,0,0,2,1,9,-8,PHO,202405290NYL
Diana Taurasi,28:14:00,4,10,0.4,3,7,0.429,3,3,1,1,4,0,1,0,0,2,14,-6,PHO,202405290NYL
Natasha Mack,22:13,2,3,0.667,0,0,,0,0,,0,6,0,0,1,0,1,4,-6,PHO,202405290NYL
Betnijah Laney,36:38:00,6,11,0.545,1,4,0.25,2,2,1,0,4,3,2,1,3,4,15,0,NYL,202405290NYL
Breanna Stewart,36:32:00,4,10,0.4,0,2,0,5,5,1,3,8,2,2,0,2,2,13,7,NYL,202405290NYL
Sabrina Ionescu,34:40:00,7,17,0.412,4,9,0.444,4,4,1,1,6,9,0,0,4,2,22,3,NYL,202405290NYL
Jonquel Jones,31:24:00,7,11,0.636,2,6,0.333,4,5,0.8,2,7,1,0,2,0,3,20,7,NYL,202405290NYL
Courtney Vandersloot,26:10:00,2,10,0.2,1,5,0.2,1,2,0.5,1,5,2,1,2,1,0,6,13,NYL,202405290NYL
Allisha Gray,35:43:00,7,9,0.778,4,6,0.667,1,2,0.5,1,2,3,2,1,2,5,19,7,ATL,202405290WAS
Tina Charles,34:58:00,7,11,0.636,0,2,0,3,4,0.75,3,15,3,1,0,4,2,17,12,ATL,202405290WAS
Rhyne Howard,29:47:00,2,11,0.182,0,6,0,7,7,1,0,4,4,4,1,1,2,11,7,ATL,202405290WAS
Cheyenne Parker,29:21:00,3,9,0.333,0,0,,4,5,0.8,1,9,1,1,0,3,3,10,10,ATL,202405290WAS
Haley Jones,16:57,1,3,0.333,0,1,0,0,0,,0,1,4,0,0,3,3,2,-7,ATL,202405290WAS
Ariel Atkins,35:56:00,8,17,0.471,2,6,0.333,3,3,1,2,8,3,2,1,2,1,21,-11,WAS,202405290WAS
Karlie Samuelson,31:11:00,3,10,0.3,1,7,0.143,0,0,,1,3,3,0,0,1,2,7,-10,WAS,202405290WAS
Julie Vanloo,27:41:00,1,6,0.167,1,5,0.2,0,0,,0,1,5,1,0,5,1,3,-6,WAS,202405290WAS
Stefanie Dolson,23:47,4,8,0.5,2,4,0.5,0,0,,1,1,2,1,1,2,2,10,-4,WAS,202405290WAS
Shakira Austin,23:33,4,12,0.333,0,1,0,4,4,1,2,9,3,0,0,1,4,12,-7,WAS,202405290WAS
Dearica Hamby,38:47:00,9,19,0.474,1,2,0.5,5,6,0.833,3,13,3,3,0,3,0,24,-5,LAS,202405300CHI
Kia Nurse,31:38:00,5,12,0.417,2,7,0.286,5,6,0.833,0,1,2,1,0,2,1,17,-13,LAS,202405300CHI
Rickea Jackson,27:41:00,4,5,0.8,0,0,,2,3,0.667,1,5,0,0,0,3,1,10,-2,LAS,202405300CHI
Cameron Brink,22:41,2,6,0.333,0,1,0,3,4,0.75,0,6,2,2,1,4,4,7,-16,LAS,202405300CHI
Lexie Brown,18:36,1,4,0.25,0,2,0,2,2,1,0,1,4,1,0,3,3,4,-17,LAS,202405300CHI
Marina Mabrey,33:02:00,6,14,0.429,6,11,0.545,2,2,1,2,7,7,1,0,1,4,20,17,CHI,202405300CHI
Elizabeth Williams,30:47:00,6,9,0.667,0,0,,5,7,0.714,4,11,1,4,4,1,2,17,15,CHI,202405300CHI
Dana Evans,30:37:00,7,16,0.438,0,2,0,1,1,1,1,1,4,5,1,3,1,15,9,CHI,202405300CHI
Angel Reese,25:01:00,3,8,0.375,0,0,,0,0,,3,6,3,2,0,2,5,6,17,CHI,202405300CHI
Diamond DeShields,19:55,1,8,0.125,0,2,0,0,0,,0,2,3,1,1,1,3,2,2,CHI,202405300CHI
Skylar Diggins-Smith,31:02:00,8,14,0.571,2,4,0.5,0,1,0,0,2,9,0,2,0,1,18,25,SEA,202405300IND
Nneka Ogwumike,27:38:00,8,11,0.727,1,1,1,0,0,,0,6,6,2,1,1,2,17,24,SEA,202405300IND
Ezi Magbegor,27:34:00,4,10,0.4,1,2,0.5,6,7,0.857,2,8,3,3,4,1,5,15,22,SEA,202405300IND
Jewell Loyd,26:59:00,8,14,0.571,2,4,0.5,4,4,1,0,1,6,0,0,1,0,22,24,SEA,202405300IND
Victoria Vivians,19:53,2,4,0.5,1,3,0.333,0,0,,1,5,1,0,0,2,1,5,17,SEA,202405300IND
Caitlin Clark,39:56:00,6,17,0.353,3,8,0.375,5,5,1,1,3,9,0,1,7,2,20,-13,IND,202405300IND
Kelsey Mitchell,35:30:00,5,16,0.313,1,4,0.25,3,4,0.75,1,2,4,0,0,1,1,14,-17,IND,202405300IND
NaLyssa Smith,33:03:00,8,14,0.571,1,3,0.333,6,7,0.857,3,10,2,1,2,1,2,23,-13,IND,202405300IND
Aliyah Boston,29:06:00,4,7,0.571,1,1,1,2,2,1,3,12,5,0,0,1,4,11,-9,IND,202405300IND
Kristy Wallace,13:36,1,4,0.25,0,1,0,0,0,,0,1,0,0,1,0,1,2,-18,IND,202405300IND
Kelsey Plum,39:09:00,6,18,0.333,3,12,0.25,4,5,0.8,0,1,6,1,0,1,4,19,1,LVA,202405310ATL
Jackie Young,36:07:00,4,15,0.267,1,2,0.5,6,7,0.857,1,6,5,0,1,5,4,15,-12,LVA,202405310ATL
Alysha Clark,35:26:00,2,4,0.5,1,3,0.333,2,2,1,2,8,0,1,0,1,5,7,-8,LVA,202405310ATL
A'ja Wilson,35:12:00,12,27,0.444,0,1,0,4,4,1,0,9,3,1,4,1,2,28,-12,LVA,202405310ATL
Kiah Stokes,22:23,0,1,0,0,1,0,0,0,,0,7,1,1,0,2,4,0,3,LVA,202405310ATL
Allisha Gray,33:50:00,6,15,0.4,6,7,0.857,6,6,1,1,4,3,0,0,0,2,24,12,ATL,202405310ATL
Rhyne Howard,33:06:00,5,13,0.385,0,4,0,6,8,0.75,0,2,2,2,1,1,1,16,1,ATL,202405310ATL
Tina Charles,29:32:00,3,7,0.429,1,1,1,0,0,,2,8,3,0,0,2,4,7,9,ATL,202405310ATL
Cheyenne Parker,26:26:00,2,7,0.286,0,0,,3,3,1,0,8,2,0,1,3,3,7,11,ATL,202405310ATL
Haley Jones,21:50,2,4,0.5,0,0,,4,4,1,0,5,2,0,0,1,2,8,7,ATL,202405310ATL
Arike Ogunbowale,38:39:00,8,21,0.381,3,8,0.375,2,2,1,0,4,7,2,0,1,2,21,4,DAL,202405310CON
Maddy Siegrist,33:58:00,8,8,1,1,1,1,0,0,,0,2,0,0,0,0,5,17,-3,DAL,202405310CON
Sevgi Uzun,33:34:00,3,8,0.375,1,3,0.333,0,0,,0,3,3,1,1,4,3,7,-1,DAL,202405310CON
Monique Billings,27:59:00,2,5,0.4,0,0,,0,0,,0,4,4,0,1,5,6,4,0,DAL,202405310CON
Teaira McCowan,24:56:00,5,8,0.625,0,0,,0,2,0,2,7,2,0,0,0,1,10,-2,DAL,202405310CON
Alyssa Thomas,35:31:00,6,11,0.545,0,0,,3,8,0.375,4,9,14,2,1,3,1,15,10,CON,202405310CON
DeWanna Bonner,34:30:00,5,13,0.385,0,4,0,2,3,0.667,1,4,2,0,0,2,1,12,0,CON,202405310CON
Tyasha Harris,32:19:00,3,9,0.333,0,2,0,1,2,0.5,0,2,4,2,0,2,0,7,3,CON,202405310CON
Brionna Jones,30:06:00,10,14,0.714,0,0,,2,2,1,0,4,1,0,0,0,4,22,-6,CON,202405310CON
DiJonai Carrington,29:23:00,3,6,0.5,0,0,,3,5,0.6,2,3,1,0,0,2,1,9,-3,CON,202405310CON
Kahleah Copper,30:43:00,7,18,0.389,3,6,0.5,4,5,0.8,0,1,1,1,0,2,2,21,-15,PHO,202405310MIN
Natasha Cloud,29:26:00,2,7,0.286,0,2,0,1,2,0.5,1,6,7,0,0,4,3,5,-13,PHO,202405310MIN
Natasha Mack,26:52:00,4,7,0.571,0,1,0,0,0,,2,10,1,3,1,0,0,8,-14,PHO,202405310MIN
Sophie Cunningham,24:19:00,5,8,0.625,3,6,0.5,0,0,,2,5,0,1,0,0,2,13,-5,PHO,202405310MIN
Diana Taurasi,21:31,3,10,0.3,2,6,0.333,6,7,0.857,1,2,2,0,0,2,4,14,-12,PHO,202405310MIN
Bridget Carleton,28:02:00,2,6,0.333,2,6,0.333,0,0,,2,4,3,0,0,0,3,6,17,MIN,202405310MIN
Napheesa Collier,26:07:00,6,12,0.5,0,2,0,2,2,1,2,11,2,1,1,1,2,14,12,MIN,202405310MIN
Kayla McBride,21:49,2,5,0.4,2,5,0.4,0,0,,1,3,4,0,0,1,2,6,9,MIN,202405310MIN
Courtney Williams,19:19,4,9,0.444,3,6,0.5,0,0,,0,3,5,1,1,0,2,11,8,MIN,202405310MIN
Alanna Smith,18:03,3,6,0.5,0,2,0,2,3,0.667,0,2,3,2,1,1,0,8,7,MIN,202405310MIN
Ariel Atkins,32:20:00,5,9,0.556,3,6,0.5,2,3,0.667,1,7,3,1,0,2,3,15,3,WAS,202405310NYL
Karlie Samuelson,28:47:00,2,5,0.4,1,2,0.5,0,0,,0,2,2,0,0,0,3,5,-16,WAS,202405310NYL
Shakira Austin,23:15,4,10,0.4,0,0,,4,6,0.667,0,6,0,1,1,2,3,12,-6,WAS,202405310NYL
Stefanie Dolson,21:57,1,3,0.333,0,2,0,0,0,,0,3,1,0,0,1,5,2,-13,WAS,202405310NYL
Julie Vanloo,20:55,3,9,0.333,2,5,0.4,0,0,,0,0,7,0,0,2,2,8,-5,WAS,202405310NYL
Breanna Stewart,36:18:00,4,13,0.308,0,4,0,10,12,0.833,2,15,5,2,0,3,4,18,13,NYL,202405310NYL
Sabrina Ionescu,35:27:00,7,12,0.583,4,8,0.5,6,6,1,0,1,3,0,0,5,2,24,14,NYL,202405310NYL
Jonquel Jones,34:04:00,6,11,0.545,3,6,0.5,1,5,0.2,3,10,3,1,0,3,4,16,1,NYL,202405310NYL
